station,Ane,Bhadalwadi,Bukum,Dhumalwadi,Dorlewadi,Jejuri,Junnar,Karanje,Kolwan,Lonawala,Loni (Ambegaon),Mulshi,Narayangaon,Narayanpur,Nimbgaon-Ketke,Otur,Pangre Sailar Basti,Parne,Patas,Pimpri (Kh) Malvasti,Pune,Rajgurnagar (Khed),Sakurde,Shivpur Khed,Undavri Kade Pathar,Wehle,Khutbhav_Pz,Mahalunge Padval_Pz,Pabal New,Kharabwadi,Shikrapur,Ausari Khurd-1,Kamatwadi-Walha,Kamshet,Kasurdi-1,Kolawade,Ale-1,Belhe-1,Kamunde,Khadki,Wagholi-1,Zendewadi-1,Baramati,Khutbhav_1,Parawadi,Kauthe_1,Khadakwasala_3
2000-01-01 00:00:00,5,2.4,0.55,5.5,4.6,1.4,4.4,6.4,1.3,2.3,4,1.8,7,2.3,8.8,17.5,5.8,5.6,1,4.4,3,2.75,1.6,3.55,5.8,1.5,,,,,,,,,,,,,,,,,,,,,
2000-05-01 00:00:00,4.43,1.58,0.84,7.95,,3.2,5.38,5.22,1.64,2.38,,1.68,7.95,2.2,13.95,,6.85,7.11,0.8,5.62,1.8,2.74,2.77,,6.76,2.03,,,,,,,,,,,,,,,,,,,,,
2000-08-01 00:00:00,3.07,0.01,0.34,8.54,5.15,1.94,4.23,5.2,0.01,0.01,8.68,2.35,7.6,0.01,9.28,19.05,5.13,8.15,0.01,3.75,1.55,1.78,2.6,1.69,6.2,0.01,,,,,,,,,,,,,,,,,,,,,
2000-11-01 00:00:00,4.66,0.45,0.47,12.56,4.55,5.6,4.09,8.04,0.9,0.57,3.67,1.82,7.02,0.22,10.95,17.22,6.6,7.07,1.21,3.51,3.84,2.05,2.61,3.61,5.65,0.61,,,,,,,,,,,,,,,,,,,,,
2001-01-01 00:00:00,5.38,0.13,0.67,10.8,6.33,4.95,5.16,6.93,1.23,1.16,6.36,1.52,6.06,3.26,13.04,19.44,6.68,6.03,1.06,4.49,2.43,2.38,3.75,5.18,6.15,0.9,,,,,,,,,,,,,,,,,,,,,
2001-05-01 00:00:00,6.13,6.15,,12.25,,5.82,6,6.22,2.88,2.1,,2.66,6.35,8.6,,25.08,7.75,7.77,2.09,6.25,3.8,3.68,4.5,,9.05,3.75,,,,,,,,,,,,,,,,,,,,,
2001-08-01 00:00:00,5.68,3.2,0.32,8.96,7.1,6.9,3.41,6.5,0.01,0.01,8.86,0.01,6.8,0.01,9.65,21.27,7.65,6.6,0.01,6,2.5,1.6,2.82,6.23,9.15,0.01,,,,,,,,,,,,,,,,,,,,,
2001-11-01 00:00:00,3.41,4.07,0.35,5.26,3.72,7.17,3.63,5.5,1.76,1.6,4.85,1.42,6.05,,8.86,17.1,3.63,4.79,1.2,5.72,2.45,2.32,2.02,2,7.3,0.51,,,,,,,,,,,,,,,,,,,,,
2002-01-01 00:00:00,3.8,2.53,0.46,5.92,4.48,5.68,5.08,6.02,1.95,2.6,3.05,1.75,6,2.75,11.2,16.96,5.35,4.77,1.02,4.75,1.85,2.49,1.26,6.25,7.15,1.95,,,,,,,,,,,,,,,,,,,,,
2002-05-01 00:00:00,6.3,4.02,3.65,13.2,7,7.2,10,8.5,2.15,3.95,7.3,2,7.1,8.8,,17.5,7.5,5.3,1.55,4.4,5,2.65,4.4,,7.7,2.7,,,,,,,,,,,,,,,,,,,,,
