,Month,pH,dissolved_oxygen,BOD,COD,Nitrate,Fecal_Coliform,WQI
0,January-2012-2012,7.61,1.2,13.5,44,0.26,350,36.09
1,February-2012-2012,7.65,0.9,14.5,44,0.28,350,34.65
2,March-2012-2012,7.26,BDL,17,52,1.68,425,33.23
3,April-2012-2012,7.25,1,13.5,44,0.36,425,37.12
4,May-2012-2012,8.24,1.3,15,44,0.26,550,30.46
5,June-2012-2012,7.61,BDL,17,52,0.28,550,30.04
6,July-2012-2012,8.18,1.8,15.2,44,0.34,550,32.38
7,August-2012-2012,7.48,3.7,10.25,28,2.8,550,48.86
8,September-2012-2012,8.04,1.9,11.4,28,0.28,550,34.5
9,October-2012-2012,8.11,2,15.5,36,0.32,550,33.4
10,November-2012-2012,8.21,1.8,10.8,40,0.32,550,33.21
11,December-2012-2012,8.13,BDL,16,40,0.38,900,25.26
12,January-2013,7.96,2.5,16,36,0.28,225,38.73
13,February-2013,7.52,2.79,14.8,44,0.27,275,44.7
14,March-2013,7.96,BDL,18.6,44,1.8,350,28.83
15,April-2013,8.1,BDL,22,52,0.98,425,26.48
16,May-2013,7.33,BDL,20,48,0.82,350,32.64
17,June-2013,8.68,BDL,20,56,1.65,350,23.77
18,July-2013,8.43,1.05,16,40,3.3,900,26.6
19,August-2013,8.37,0.79,16,44,0.5,550,27.77
20,September-2013,8.22,BDL,18.6,40,1.8,425,26.49
21,October-2013,8.79,2.4,14,36,1.1,425,31.38
22,November-2013,8.18,2.32,12.4,32,3.2,550,34.67
23,December-2013,7.69,4.86,12,36,8.2,550,53.54
24,January-2014,8.34,BDL,16.8,44,3.9,175,28.99
25,February-2014,7.42,BDL,14.5,48,2.7,425,32.7
26,March-2014,7.9,BDL,16.8,48,4.8,425,29.01
27,April-2014,8.19,0.8,14.5,44,5.5,275,31.57
28,May-2014,7.51,BDL,16,48,5.2,550,30.93
29,June-2014,8.27,BDL,17.9,52,2.6,275,27.73
30,July-2014,7.64,BDL,22.4,68,7,350,30.04
31,August-2014,8.29,BDL,20.8,64,2,425,25.52
32,September-2014,7.4,1.98,18.9,12,1.7,425,38.04
33,October-2014,7.07,7.04,5.2,16,2.6,550,68.79
34,November-2014,7.49,6.76,7.9,32,2,425,66.69
35,December-2014,7.5,7.11,4.2,20,2.6,350,71.14
36,January-2015,7.3,1.1,14.1,48,1.5,425,37.67
37,February-2015,8.1,BDL,19.5,60,2.2,425,27.07
38,March-2015,7.4,BDL,18.5,64,1.6,425,31.9
39,April-2015,7.8,7.19,5.2,,2.4,,-
40,May-2015,7.2,BDL,15.2,48,1.22,,-
41,June-2015,7.1,1.92,17.1,48,1.33,,-
42,July-2015,7.1,6.49,9.8,28,1.24,,-
43,August-2015,8.4,6.91,10.9,32,1,,-
44,September-2015,7.4,6.71,9.1,28,0.7,N. A.,-
45,October-2015,6.6,6.81,4.9,16,4.36,N. A.,-
46,November-2015,8.1,4.12,5.9,20,1.2,N. A.,-
47,December-2015,8.6,3.34,12.5,44,2.4,N. A.,-
48,January-2016,7.2,Nil,8.8,29.2,1.5,N. A.,-
49,February-2016,7.8,Nil,16.3,46.4,0.5,14,40.83
50,March-2016,8,0.89,44,120,bdl,N. A.,-
51,April-2016,7.3,Nil,18,56,0.9,350,33.92
52,May-2016,7.2,Nil,22,64,1.1,350,32.25
53,June-2016,7.7,2.7,32,120,3.2,N.A.,-
54,July-2016,6.8,3,5,24,0.6,N.A.,-
55,August-2016,7.6,6,4,16,0.2,N. A.,-
56,September-2016,7.3,5.9,4,16,0.8,1800+,68.97
57,October-2016,8,5.9,3.6,12,0.4,45,74.4
58,November-2016,7.3,3.6,9.6,28,1.31,110,55.91
59,December-2016,8.1,0.8,14.2,40,1.3,N. A.,-
60,January-2017,8.4,1.4,16,48,0.89,N. A.,-
61,February-2017,7.4,2.1,18,60,3,170,41.59
62,March-2017,7.4,0.8,16,48,1.8,N. A.,-
63,April-2017,7.2,1.6,16,48,1.5,250,39.78
64,May-2017,7.8,0.5,16,48,0.7,20,41.32
65,June-2017,8.5,0.6,17,52,0.2,425,26.91
66,July-2017,7.3,5.8,6.8,20,2.5,225,69.6
67,August-2017,8.1,5.7,9.2,32,0.16,350,58.54
68,September-2017,7.4,3.8,9.4,28,3.21,425,51.64
69,October-2017,7.5,4.2,12,44,3,425,51.94
70,November-2017,8.2,4.3,12,40,1.6,425,47.9
71,December-2017,8.1,3.9,40,40,1,350,42.75
72,January-2018,8.2,3.4,11.5,40,1.5,350,43.62
73,February-2018,7.9,4.5,10.5,44,0.9,350,51.97
74,March-2018,8.3,4.6,11.5,44,0.02,275,50.44
75,April-2018,7.6,4.6,12,48,2.9,350,54.14
76,May-2018,8.47,4,16,56,2.2,425,43.52
77,June-2018,7.9,3.8,16.5,56,1.6,350,46.66
78,July-2018,7,3.2,14,52,3.8,350,46.25
79,August-2018,8.1,3.1,8,28,5,250,46.72
80,September-2018,7.3,0.7,15.5,48,0.9,1600,33.34
81,October-2018,7.4,2.4,9.5,40,8,350,42.75
82,November-2018,7.5,1.2,14.5,44,3.3,425,35.95
83,December-2018,7.8,,14.5,44,0.122,425,30.21
84,January-2019,8.1,BDL,14.5,48,0.15,350,28.86
85,February-2019,7.9,0.7,13.5,40,2.3,275,33.39
86,March-2019,7.6,BDL,19,56,2.4,425,30.47
87,April-2019,7.3,BDL,18.5,56,2.5,425,33.18
88,May-2019,7.2,BDL,17.5,52,5.6,550,31.84
89,June-2019,7,1.2,12.5,40,1.6,350,36.77
90,July-2019,7.5,2,11.5,36,5.1,1600,36.43
91,August-2019,7.1,2,13,48,5.6,900,36.86
92,September-2019,6.9,6,4.2,12,0.9,350,69.79
93,October-2019,7.8,6,5,16,5.5,1600,64.4
94,November-2019,8.2,6,5,12,5.1,425,64.52
95,December-2019,8.1,5,18,44,1.6,1600,48.32
96,January-2020,6.9,5,10,24,1.9,900,53.45
97,February-2020,7.3,4.5,20,48,15.5,1600,50.94
98,March-2020,6.9,6,6,21,2.2,900,64.35
99,April-2020,6.72,6.2,14,36,1.242,,-
100,May-2020,,,,,,,
101,June-2020,8.3,6,8,20,2,550,59.04
102,July-2020,7.8,5.9,6,24,2.9,425,65.26
103,August-2020,8.1,5.5,10,36,2.6,350,56.36
104,September-2020,7.5,5.5,8,20,2.8,350,62.96
105,October-2020,7.9,5.6,6.5,24,2.4,275,63.67
106,November-2020,7.8,5.3,9.6,40,7.8,275,58.53
107,December-2020,7.4,4.5,9.5,48,3.2,250,57.13
108,January-2021,8.1,4.9,9.4,40,9.8,250,54.9
109,February-2021,7.8,5.1,5.4,36,0.3 (BDL),275,63.0
110,March-2021,7.2,4.6,9.5,48,1.5,350,57.14
111,April-2021,7,4.8,9.5,40,0.6,350,56.79
112,May-2021,8,4.5,12.5,52,6.7,425,50.21
113,June-2021,7.7,4.8,13.5,44,1.6,550,52.79
114,July-2021,7.6,4.3,12.5,48,4.9,550,50.89
115,August-2021,7.72,4.9,11.5,36,3.35,350,55.15
116,September-2021,7.1,4.5,10.5,40,4.52,70,60.26
117,October-2021,7.5,4.7,13.5,48,0.8,20,64.27
118,November-2021,7.3,6.1,4,16,4.46,20,82.82
119,December-2021,7.4,4.1,9,36,2.15,60,60.18
120,January-2022,7.3,4.4,8.5,36,0.9,40,65.11
121,February-2022,7.6,4.6,7.5,28,2.12,9,69.79
122,March-2022,8.4,5.1,6.8,21.6,1.24,12,67.33
123,April-2022,7.3,3.9,15,50,1.4,14,62.54
124,May-2022,7.2,5.2,6.4,21.7,9,12,75.53
125,June-2022,7.7,3.6,11.5,34.8,1.48,30,55.97
126,July-2022,7.1,5.1,5.5,18.8,0.82,25,73.05
127,August-2022,7.3,4.7,12.5,32.5,1.8,35,64.62
128,September-2022,7.6,4.5,9.2,48,4.7,20,64.39
129,October-2022,7.4,4.5,12,44,1.08,30,62.85
130,November-2022,7.1,4.2,12.4,48,6.53,30,60.88
131,December-2022,7.5,4.1,15.9,52,2.19,30,59.05
132,January-2023,7,4.3,10.4,39.5,1.63,25,61.76
133,February-2023,7.5,4.3,18.8,59.8,,25,60.07
134,March-2023,7.7,4.3,19,60,1.33,140,53.14
135,April-2023,7.2,3.8,21,64,1.36,175,51.67
136,May-2023,7.8,3.3,22,68,0.89,200,45.05
