,Date,Rainfall,Ane,Bhadalwadi,Bukum,Dhumalwadi,Dorlewadi,Jejuri,Junnar,Karanje,Kolwan,Lonawala,Loni (Ambegaon),Mulshi,Narayangaon,Narayanpur,Nimbgaon-Ketke,Otur,Pangre Sailar Basti,Parne,Patas,Pimpri (Kh) Malvasti,Pune,Rajgurnagar (Khed),Sakurde,Shivpur Khed,Undavri Kade Pathar,Wehle,Khutbhav_Pz,Mahalunge Padval_Pz,Pabal New,Kharabwadi,Shikrapur,Ausari Khurd-1,Kamatwadi-Walha,Kamshet,Kasurdi-1,Kolawade,Ale-1,Belhe-1,Kamunde,Khadki,Wagholi-1,Zendewadi-1,Baramati,Khutbhav_1,Parawadi,Kauthe_1,Khadakwasala_3
0,2000-01-01,0.0,5.0,2.4,0.55,5.5,4.6,1.4,4.4,6.4,1.3,2.3,4.0,1.8,7.0,2.3,8.8,17.5,5.8,5.6,1.0,4.4,3.0,2.75,1.6,3.55,5.8,1.5,,,,,,,,,,,,,,,,,,,,,
1,2000-02-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2000-03-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2000-04-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2000-05-01,0.7766258064516129,4.43,1.58,0.84,7.95,,3.2,5.38,5.22,1.64,2.38,,1.68,7.95,2.2,13.95,,6.85,7.11,0.8,5.62,1.8,2.74,2.77,,6.76,2.03,,,,,,,,,,,,,,,,,,,,,
5,2000-06-01,4.840746666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2000-07-01,3.1691806451612905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2000-08-01,2.6477322580645164,3.07,0.01,0.34,8.54,5.15,1.94,4.23,5.2,0.01,0.01,8.68,2.35,7.6,0.01,9.28,19.05,5.13,8.15,0.01,3.75,1.55,1.78,2.6,1.69,6.2,0.01,,,,,,,,,,,,,,,,,,,,,
8,2000-09-01,3.32683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2000-10-01,1.3613580645161292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2000-11-01,0.47496,4.66,0.45,0.47,12.56,4.55,5.6,4.09,8.04,0.9,0.57,3.67,1.82,7.02,0.22,10.95,17.22,6.6,7.07,1.21,3.51,3.84,2.05,2.61,3.61,5.65,0.61,,,,,,,,,,,,,,,,,,,,,
11,2000-12-01,0.2493935483870968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2001-01-01,0.2081870967741935,5.38,0.13,0.67,10.8,6.33,4.95,5.16,6.93,1.23,1.16,6.36,1.52,6.06,3.26,13.04,19.44,6.68,6.03,1.06,4.49,2.43,2.38,3.75,5.18,6.15,0.9,,,,,,,,,,,,,,,,,,,,,
13,2001-02-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2001-03-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2001-04-01,0.0786966666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2001-05-01,0.2002838709677419,6.13,6.15,,12.25,,5.82,6.0,6.22,2.88,2.1,,2.66,6.35,8.6,,25.08,7.75,7.77,2.09,6.25,3.8,3.68,4.5,,9.05,3.75,,,,,,,,,,,,,,,,,,,,,
17,2001-06-01,2.7665866666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
