,Date,Rainfall,Ane,Bhadalwadi,Bukum,Dhumalwadi,Dorlewadi,Jejuri,Junnar,Karanje,Kolwan,Lonawala,Loni (Ambegaon),Mulshi,Narayangaon,Narayanpur,Nimbgaon-Ketke,Otur,Pangre Sailar Basti,Parne,Patas,Pimpri (Kh) Malvasti,Pune,Rajgurnagar (Khed),Sakurde,Shivpur Khed,Undavri Kade Pathar,Wehle,Khutbhav_Pz,Mahalunge Padval_Pz,Pabal New,Kharabwadi,Shikrapur,Ausari Khurd-1,Kamatwadi-Walha,Kamshet,Kasurdi-1,Kolawade,Ale-1,Belhe-1,Kamunde,Khadki,Wagholi-1,Zendewadi-1,Month,Year
0,2000-01-01,0.001,5.0,2.4,0.55,5.5,4.6,1.4,4.4,6.4,1.3,2.3,4.0,1.8,7.0,2.3,8.8,17.5,5.8,5.6,1.0,4.4,3.0,2.75,1.6,3.55,5.8,1.5,10.645799999999987,5.883000000000002,1.926899999999999,6.970399999999997,4.047599999999998,7.197700000000002,8.984500000000006,3.886800000000002,5.521300000000008,4.306300000000003,10.78309999999999,13.009299999999994,7.09019999999999,4.8556,4.315099999999998,11.426599999999993,1,2000
1,2000-05-01,0.7766258064516129,4.43,1.58,0.84,7.95,5.664,3.2,5.38,5.22,1.64,2.38,7.311599999999995,1.68,7.95,2.2,13.95,20.02589999999999,6.85,7.11,0.8,5.62,1.8,2.74,2.77,8.658000000000001,6.76,2.03,12.569899999999995,6.8118999999999925,4.064400000000003,7.6961999999999895,4.743699999999997,8.966500000000014,9.148599999999993,2.4401000000000006,4.270800000000002,4.970200000000005,10.332499999999998,14.355800000000002,9.500399999999999,5.024099999999999,4.718000000000002,9.572699999999998,5,2000
2,2000-08-01,2.6477322580645164,3.07,0.01,0.34,8.54,5.15,1.94,4.23,5.2,0.01,0.01,8.68,2.35,7.6,0.01,9.28,19.05,5.13,8.15,0.01,3.75,1.55,1.78,2.6,1.69,6.2,0.01,12.850799999999998,6.988899999999994,2.4841999999999986,6.616899999999994,3.7241999999999944,6.184100000000004,8.081799999999994,1.130000000000001,2.882700000000001,3.027499999999997,8.370200000000006,11.641899999999998,6.230599999999994,2.0108000000000015,5.326500000000002,4.040000000000001,8,2000
3,2000-11-01,0.47496,4.66,0.45,0.47,12.56,4.55,5.6,4.09,8.04,0.9,0.57,3.67,1.82,7.02,0.22,10.95,17.22,6.6,7.07,1.21,3.51,3.84,2.05,2.61,3.61,5.65,0.61,10.978800000000001,8.9437,1.5289000000000004,5.476099999999997,2.7555999999999976,8.072100000000008,7.986499999999991,2.774999999999999,3.3100000000000023,3.390799999999996,5.906000000000002,3.718700000000004,6.512199999999999,2.7736000000000023,4.605000000000005,4.744799999999995,11,2000
4,2001-01-01,0.2081870967741935,5.38,0.13,0.67,10.8,6.33,4.95,5.16,6.93,1.23,1.16,6.36,1.52,6.06,3.26,13.04,19.44,6.68,6.03,1.06,4.49,2.43,2.38,3.75,5.18,6.15,0.9,11.111199999999998,9.552999999999997,2.316799999999999,7.389299999999995,4.371199999999996,9.144300000000008,9.832899999999997,4.325199999999998,4.496200000000004,4.375500000000003,10.841799999999994,13.738499999999997,9.25319999999999,5.2878,4.423400000000001,9.570099999999996,1,2001
5,2001-05-01,0.2002838709677419,6.13,6.15,2.063100000000002,12.25,6.734500000000002,5.82,6.0,6.22,2.88,2.1,7.3829999999999965,2.66,6.35,8.6,13.513399999999997,25.08,7.75,7.77,2.09,6.25,3.8,3.68,4.5,9.349700000000004,9.05,3.75,12.480399999999998,10.560200000000002,4.011700000000002,8.188799999999988,5.045799999999997,10.138300000000013,10.229499999999993,4.397399999999996,4.136400000000004,5.254500000000005,11.265299999999995,15.589100000000013,9.562999999999995,5.623199999999998,4.732800000000001,9.739199999999999,5,2001
6,2001-08-01,2.578848387096774,5.68,3.2,0.32,8.96,7.1,6.9,3.41,6.5,0.01,0.01,8.86,0.01,6.8,0.01,9.65,21.27,7.65,6.6,0.01,6.0,2.5,1.6,2.82,6.23,9.15,0.01,12.449200000000003,6.993399999999995,2.4911999999999983,6.616899999999994,3.7241999999999944,6.184100000000004,8.081799999999994,1.130000000000001,2.882700000000001,3.027499999999997,8.370200000000006,11.641899999999998,6.230599999999994,2.0108000000000015,5.326500000000002,4.040000000000001,8,2001
7,2001-11-01,0.7526133333333332,3.41,4.07,0.35,5.26,3.72,7.17,3.63,5.5,1.76,1.6,4.85,1.42,6.05,0.19920000000000004,8.86,17.1,3.63,4.79,1.2,5.72,2.45,2.32,2.02,2.0,7.3,0.51,10.5497,7.4119999999999955,2.2611000000000017,6.380199999999993,3.0832999999999964,8.31980000000001,7.6431999999999904,1.9406999999999976,3.2727000000000026,3.105699999999997,6.189500000000001,3.9327000000000045,6.580599999999999,2.711000000000001,5.3014000000000046,5.582399999999998,11,2001
8,2002-01-01,0.001,3.8,2.53,0.46,5.92,4.48,5.68,5.08,6.02,1.95,2.6,3.05,1.75,6.0,2.75,11.2,16.96,5.35,4.77,1.02,4.75,1.85,2.49,1.26,6.25,7.15,1.95,10.645799999999987,5.883000000000002,1.926899999999999,6.970399999999997,4.047599999999998,7.197700000000002,8.984500000000006,3.886800000000002,5.521300000000008,4.306300000000003,10.78309999999999,13.009299999999994,7.09019999999999,4.8556,4.315099999999998,11.426599999999993,1,2002
9,2002-05-01,0.5623903225806451,6.3,4.02,3.65,13.2,7.0,7.2,10.0,8.5,2.15,3.95,7.3,2.0,7.1,8.8,13.579000000000008,17.5,7.5,5.3,1.55,4.4,5.0,2.65,4.4,8.744300000000003,7.7,2.7,12.529999999999996,7.102599999999992,3.984100000000002,7.230699999999993,4.8478999999999965,8.868400000000014,9.436899999999987,2.7378000000000005,4.314000000000003,5.231800000000005,10.315299999999997,14.189600000000002,9.561399999999999,5.1169,4.054800000000003,9.524699999999998,5,2002
