Month,pH,dissolved_oxygen,BOD,COD,Nitrate,Fecal_Coliform,WQI
01-01-2012,7.61,1.2,13.5,44,0.26,350,36.09
01-02-2012,7.65,0.9,14.5,44,0.28,350,34.65
01-03-2012,7.26,,17,52,1.68,425,33.23
01-04-2012,7.25,1,13.5,44,0.36,425,37.12
01-05-2012,8.24,1.3,15,44,0.26,550,30.46
01-06-2012,7.61,,17,52,0.28,550,30.04
01-07-2012,8.18,1.8,15.2,44,0.34,550,32.38
01-08-2012,7.48,3.7,10.25,28,2.8,550,48.86
01-09-2012,8.04,1.9,11.4,28,0.28,550,34.5
01-10-2012,8.11,2,15.5,36,0.32,550,33.4
01-11-2012,8.21,1.8,10.8,40,0.32,550,33.21
01-12-2012,8.13,,16,40,0.38,900,25.26
01-01-2013,7.96,2.5,16,36,0.28,225,38.73
01-02-2013,7.52,2.79,14.8,44,0.27,275,44.7
01-03-2013,7.96,,18.6,44,1.8,350,28.83
01-04-2013,8.1,,22,52,0.98,425,26.48
01-05-2013,7.33,,20,48,0.82,350,32.64
01-06-2013,8.68,,20,56,1.65,350,23.77
01-07-2013,8.43,1.05,16,40,3.3,900,26.6
01-08-2013,8.37,0.79,16,44,0.5,550,27.77
01-09-2013,8.22,,18.6,40,1.8,425,26.49
01-10-2013,8.79,2.4,14,36,1.1,425,31.38
01-11-2013,8.18,2.32,12.4,32,3.2,550,34.67
01-12-2013,7.69,4.86,12,36,8.2,550,53.54
01-01-2014,8.34,,16.8,44,3.9,175,28.99
01-02-2014,7.42,,14.5,48,2.7,425,32.7
01-03-2014,7.9,,16.8,48,4.8,425,29.01
01-04-2014,8.19,0.8,14.5,44,5.5,275,31.57
01-05-2014,7.51,,16,48,5.2,550,30.93
01-06-2014,8.27,,17.9,52,2.6,275,27.73
01-07-2014,7.64,,22.4,68,7,350,30.04
01-08-2014,8.29,,20.8,64,2,425,25.52
01-09-2014,7.4,1.98,18.9,12,1.7,425,38.04
01-10-2014,7.07,7.04,5.2,16,2.6,550,68.79
01-11-2014,7.49,6.76,7.9,32,2,425,66.69
01-12-2014,7.5,7.11,4.2,20,2.6,350,71.14
01-01-2015,7.3,1.1,14.1,48,1.5,425,37.67
01-02-2015,8.1,,19.5,60,2.2,425,27.07
01-03-2015,7.4,,18.5,64,1.6,425,31.9
01-04-2015,7.8,7.19,5.2,,2.4,,
01-05-2015,7.2,,15.2,48,1.22,,
01-06-2015,7.1,1.92,17.1,48,1.33,,
01-07-2015,7.1,6.49,9.8,28,1.24,,
01-08-2015,8.4,6.91,10.9,32,1,,
01-09-2015,7.4,6.71,9.1,28,0.7,,
01-10-2015,6.6,6.81,4.9,16,4.36,,
01-11-2015,8.1,4.12,5.9,20,1.2,,
01-12-2015,8.6,3.34,12.5,44,2.4,,
01-01-2016,7.2,,8.8,29.2,1.5,,
01-02-2016,7.8,,16.3,46.4,0.5,14,40.83
